sportmonks_fixture_id,player_id,player_name,selection_name,market,bookmaker,odds,implied_probability,mapping_confidence,mapping_method,mapping_score,label,timestamp,finished
19135819,150876,Martin Bjørnbak,Martin Bjornbak,Team Goalscorer,bet365,19.0,0.052632,MEDIUM,fuzzy_high,0.9333,First,2024-07-25 16:50:08,True
19135819,2876,Magnus Wolff Eikrem,Magnus Wolff Eikrem,Goalscorers,bet365,6.0,0.166667,HIGH,exact,1.0,Anytime,2024-07-25 16:50:08,True
19135819,5283802,Emil Breivik,Emil Breivik,Goalscorers,bet365,10.0,0.1,HIGH,exact,1.0,Anytime,2024-07-25 16:50:08,True
19135819,2876,Magnus Wolff Eikrem,Magnus Wolff Eikrem,Goalscorers,bet365,6.0,0.166667,HIGH,exact,1.0,Anytime,2024-07-25 16:50:08,True
19135819,2876,Magnus Wolff Eikrem,Magnus Wolff Eikrem,Goalscorers,bet365,2.75,0.363636,HIGH,exact,1.0,Anytime,2024-07-25 16:50:08,True
19135819,5283802,Emil Breivik,Emil Breivik,Goalscorers,bet365,4.33,0.230947,HIGH,exact,1.0,Anytime,2024-07-25 16:50:08,True
19135819,151252,Eirik Hestad,Eirik Hestad,Goalscorers,bet365,8.0,0.125,HIGH,exact,1.0,Anytime,2024-07-25 16:50:08,True
19135819,150876,Martin Bjørnbak,Martin Bjornbak,Goalscorers,bet365,29.0,0.034483,MEDIUM,fuzzy_high,0.9333,Last,2024-07-25 16:50:08,True
19135819,151252,Eirik Hestad,Eirik Hestad,Goalscorers,bet365,8.0,0.125,HIGH,exact,1.0,Anytime,2024-07-25 16:50:08,True
19135819,151073,Kristoffer Haugen,Kristoffer Haugen,Goalscorers,bet365,17.0,0.058824,HIGH,exact,1.0,Last,2024-07-25 16:50:08,True
19135819,37336215,Mathias Løvik,Mathias Lovik,Goalscorers,bet365,17.0,0.058824,MEDIUM,fuzzy_high,0.9231,Last,2024-07-25 16:50:08,True
19135819,150876,Martin Bjørnbak,Martin Bjornbak,Goalscorers,bet365,29.0,0.034483,MEDIUM,fuzzy_high,0.9333,Last,2024-07-25 16:50:08,True
19135819,151252,Eirik Hestad,Eirik Hestad,Goalscorers,bet365,3.5,0.285714,HIGH,exact,1.0,Anytime,2024-07-25 16:50:08,True
19135819,2876,Magnus Wolff Eikrem,Magnus Wolff Eikrem,Team Goalscorer,bet365,4.0,0.25,HIGH,exact,1.0,Last,2024-07-25 16:50:08,True
19135819,151252,Eirik Hestad,Eirik Hestad,Team Goalscorer,bet365,5.0,0.2,HIGH,exact,1.0,Last,2024-07-25 16:50:08,True
19135819,5283802,Emil Breivik,Emil Breivik,Team Goalscorer,bet365,6.5,0.153846,HIGH,exact,1.0,First,2024-07-25 16:50:08,True
19135819,151073,Kristoffer Haugen,Kristoffer Haugen,Team Goalscorer,bet365,11.0,0.090909,HIGH,exact,1.0,First,2024-07-25 16:50:08,True
19135819,37336215,Mathias Løvik,Mathias Lovik,Team Goalscorer,bet365,11.0,0.090909,MEDIUM,fuzzy_high,0.9231,First,2024-07-25 16:50:08,True
19135819,150876,Martin Bjørnbak,Martin Bjornbak,Team Goalscorer,bet365,19.0,0.052632,MEDIUM,fuzzy_high,0.9333,First,2024-07-25 16:50:08,True
19135819,2876,Magnus Wolff Eikrem,Magnus Wolff Eikrem,Team Goalscorer,bet365,4.0,0.25,HIGH,exact,1.0,Last,2024-07-25 16:50:08,True
19135819,151252,Eirik Hestad,Eirik Hestad,Team Goalscorer,bet365,5.0,0.2,HIGH,exact,1.0,Last,2024-07-25 16:50:08,True
19135820,37509472,Robin Østrøm,Robin Ostrom,Team Goalscorer,bet365,17.0,0.058824,MEDIUM,fuzzy_medium,0.8696,First,2024-08-01 17:10:04,True
19135820,150920,Aaron Olanare,Aaron Olanare,Team Goalscorer,bet365,4.5,0.222222,HIGH,exact,1.0,Last,2024-08-01 17:10:04,True
19135820,2876,Magnus Wolff Eikrem,Magnus Wolff Eikrem,Team Goalscorer,bet365,4.5,0.222222,HIGH,exact,1.0,Last,2024-08-01 17:10:04,True
19135820,538359,Ramazan Orazov,Ramazan Orazov,Goalscorers,bet365,12.0,0.083333,HIGH,exact,1.0,Anytime,2024-08-01 17:10:04,True
19135820,37260000,Oliver Sonne,Oliver Sonne,Goalscorers,bet365,26.0,0.038462,HIGH,exact,1.0,Anytime,2024-08-01 17:10:04,True
19135820,150920,Aaron Olanare,Aaron Olanare,Team Goalscorer,bet365,4.5,0.222222,HIGH,exact,1.0,Last,2024-08-01 17:10:04,True
19135820,5283802,Emil Breivik,Emil Breivik,Team Goalscorer,bet365,7.0,0.142857,HIGH,exact,1.0,First,2024-08-01 17:10:04,True
19135820,2875,Mats Møller Dæhli,Mats Moller Daehli,Team Goalscorer,bet365,7.0,0.142857,MEDIUM,fuzzy_medium,0.8571,First,2024-08-01 17:10:04,True
19135820,152914,Halldor Stenevik,Halldor Stenevik,Team Goalscorer,bet365,9.5,0.105263,HIGH,exact,1.0,First,2024-08-01 17:10:04,True
19135820,86034,Anders Hagelskjær,Anders Hagelskjaer,Team Goalscorer,bet365,15.0,0.066667,MEDIUM,fuzzy_medium,0.9143,First,2024-08-01 17:10:04,True
19135820,37707825,Jeppe Andersen,Jeppe Andersen,Team Goalscorer,bet365,9.5,0.105263,HIGH,exact,1.0,First,2024-08-01 17:10:04,True
19135820,5283802,Emil Breivik,Emil Breivik,Goalscorers,bet365,5.0,0.2,HIGH,exact,1.0,First,2024-08-01 17:10:04,True
19135820,37336215,Mathias Løvik,Mathias Lovik,Goalscorers,bet365,6.5,0.153846,MEDIUM,fuzzy_high,0.9231,Last,2024-08-01 17:10:04,True
19135820,32796136,Pedro Ganchas,Pedro Ganchas,Team Goalscorer,bet365,13.0,0.076923,HIGH,exact,1.0,First,2024-08-01 17:10:04,True
19135820,10290773,Pontus Rödin,Pontus Rodin,Team Goalscorer,bet365,13.0,0.076923,HIGH,exact,1.0,First,2024-08-01 17:10:04,True
19135820,37260000,Oliver Sonne,Oliver Sonne,Team Goalscorer,bet365,15.0,0.066667,HIGH,exact,1.0,First,2024-08-01 17:10:04,True
19135820,153126,Kristian Eriksen,Kristian Eriksen,Team Goalscorer,bet365,4.5,0.222222,HIGH,exact,1.0,Last,2024-08-01 17:10:04,True
19135820,37658179,Gustav Nyheim,Gustav Nyheim,Team Goalscorer,bet365,5.0,0.2,HIGH,exact,1.0,Last,2024-08-01 17:10:04,True
19135820,151252,Eirik Hestad,Eirik Hestad,Team Goalscorer,bet365,5.5,0.181818,HIGH,exact,1.0,Last,2024-08-01 17:10:04,True
19135820,152979,Marcus Andre Kaasa,Markus Kaasa,Team Goalscorer,bet365,5.5,0.181818,HIGH,initial_last,0.95,Last,2024-08-01 17:10:04,True
19135820,5283385,Mads Larsen,Mads Larsen,Goalscorers,bet365,12.0,0.083333,HIGH,exact,1.0,First,2024-08-01 17:10:04,True
19135820,24818234,Alexander Lind,Alexander Lind,Goalscorers,bet365,2.87,0.348432,HIGH,exact,1.0,Last,2024-08-01 17:10:04,True
19135820,37561087,Tonni Adamsen,Tonni Adamsen,Goalscorers,bet365,2.87,0.348432,HIGH,exact,1.0,Last,2024-08-01 17:10:04,True
19135820,153126,Kristian Eriksen,Kristian Eriksen,Goalscorers,bet365,3.4,0.294118,HIGH,exact,1.0,Last,2024-08-01 17:10:04,True
19135820,2876,Magnus Wolff Eikrem,Magnus Wolff Eikrem,Goalscorers,bet365,3.4,0.294118,HIGH,exact,1.0,Last,2024-08-01 17:10:04,True
19135820,24818234,Alexander Lind,Alexander Lind,Team Goalscorer,bet365,3.75,0.266667,HIGH,exact,1.0,Last,2024-08-01 17:10:04,True
19135820,538359,Ramazan Orazov,Ramazan Orazov,Team Goalscorer,bet365,6.5,0.153846,HIGH,exact,1.0,Last,2024-08-01 17:10:04,True
19135820,5283385,Mads Larsen,Mads Larsen,Team Goalscorer,bet365,6.5,0.153846,HIGH,exact,1.0,Last,2024-08-01 17:10:04,True
19135820,24818234,Alexander Lind,Alexander Lind,Goalscorers,bet365,6.5,0.153846,HIGH,exact,1.0,Last,2024-08-01 17:10:04,True
19135820,37561087,Tonni Adamsen,Tonni Adamsen,Goalscorers,bet365,6.5,0.153846,HIGH,exact,1.0,Last,2024-08-01 17:10:04,True
19135820,153126,Kristian Eriksen,Kristian Eriksen,Goalscorers,bet365,8.0,0.125,HIGH,exact,1.0,Last,2024-08-01 17:10:04,True
19135820,2876,Magnus Wolff Eikrem,Magnus Wolff Eikrem,Goalscorers,bet365,8.0,0.125,HIGH,exact,1.0,Last,2024-08-01 17:10:04,True
19135820,152979,Marcus Andre Kaasa,Markus Kaasa,Goalscorers,bet365,10.0,0.1,HIGH,initial_last,0.95,Anytime,2024-08-01 17:10:04,True
19135820,24818234,Alexander Lind,Alexander Lind,Goalscorers,bet365,6.5,0.153846,HIGH,exact,1.0,Last,2024-08-01 17:10:04,True
19135820,37561087,Tonni Adamsen,Tonni Adamsen,Goalscorers,bet365,6.5,0.153846,HIGH,exact,1.0,Last,2024-08-01 17:10:04,True
19135820,153126,Kristian Eriksen,Kristian Eriksen,Goalscorers,bet365,8.0,0.125,HIGH,exact,1.0,Last,2024-08-01 17:10:04,True
19135820,2876,Magnus Wolff Eikrem,Magnus Wolff Eikrem,Goalscorers,bet365,8.0,0.125,HIGH,exact,1.0,Last,2024-08-01 17:10:04,True
19135820,152979,Marcus Andre Kaasa,Markus Kaasa,Goalscorers,bet365,10.0,0.1,HIGH,initial_last,0.95,Anytime,2024-08-01 17:10:04,True
19135820,152979,Marcus Andre Kaasa,Markus Kaasa,Goalscorers,bet365,4.0,0.25,HIGH,initial_last,0.95,Anytime,2024-08-01 17:10:04,True
19135820,5283385,Mads Larsen,Mads Larsen,Goalscorers,bet365,4.75,0.210526,HIGH,exact,1.0,First,2024-08-01 17:10:04,True
19135820,152914,Halldor Stenevik,Halldor Stenevik,Goalscorers,bet365,17.0,0.058824,HIGH,exact,1.0,Anytime,2024-08-01 17:10:04,True
19135820,37707825,Jeppe Andersen,Jeppe Andersen,Goalscorers,bet365,17.0,0.058824,HIGH,exact,1.0,Anytime,2024-08-01 17:10:04,True
19135820,37336215,Mathias Løvik,Mathias Lovik,Goalscorers,bet365,17.0,0.058824,MEDIUM,fuzzy_high,0.9231,Last,2024-08-01 17:10:04,True
19135820,85866,Andreas Poulsen,Andreas Poulsen,Goalscorers,bet365,21.0,0.047619,HIGH,exact,1.0,Anytime,2024-08-01 17:10:04,True
19135820,2875,Mats Møller Dæhli,Mats Moller Daehli,Goalscorers,bet365,13.0,0.076923,MEDIUM,fuzzy_medium,0.8571,First,2024-08-01 17:10:04,True
19135820,152914,Halldor Stenevik,Halldor Stenevik,Goalscorers,bet365,17.0,0.058824,HIGH,exact,1.0,Anytime,2024-08-01 17:10:04,True
19135820,37707825,Jeppe Andersen,Jeppe Andersen,Goalscorers,bet365,17.0,0.058824,HIGH,exact,1.0,Anytime,2024-08-01 17:10:04,True
19135820,37336215,Mathias Løvik,Mathias Lovik,Goalscorers,bet365,17.0,0.058824,MEDIUM,fuzzy_high,0.9231,Last,2024-08-01 17:10:04,True
19135820,85866,Andreas Poulsen,Andreas Poulsen,Goalscorers,bet365,21.0,0.047619,HIGH,exact,1.0,Anytime,2024-08-01 17:10:04,True
19135820,32796136,Pedro Ganchas,Pedro Ganchas,Goalscorers,bet365,23.0,0.043478,HIGH,exact,1.0,First,2024-08-01 17:10:04,True
19135820,10290773,Pontus Rödin,Pontus Rodin,Goalscorers,bet365,23.0,0.043478,HIGH,exact,1.0,First,2024-08-01 17:10:04,True
19135820,37260000,Oliver Sonne,Oliver Sonne,Goalscorers,bet365,26.0,0.038462,HIGH,exact,1.0,Anytime,2024-08-01 17:10:04,True
19135820,86034,Anders Hagelskjær,Anders Hagelskjaer,Goalscorers,bet365,29.0,0.034483,MEDIUM,fuzzy_medium,0.9143,First,2024-08-01 17:10:04,True
19135820,31616631,Casper Öyvann,Casper Oyvann,Goalscorers,bet365,34.0,0.029412,HIGH,exact,1.0,First,2024-08-01 17:10:04,True
19135820,2875,Mats Møller Dæhli,Mats Moller Daehli,Goalscorers,bet365,5.0,0.2,MEDIUM,fuzzy_medium,0.8571,First,2024-08-01 17:10:04,True
19135820,152914,Halldor Stenevik,Halldor Stenevik,Goalscorers,bet365,6.5,0.153846,HIGH,exact,1.0,Anytime,2024-08-01 17:10:04,True
19135820,37707825,Jeppe Andersen,Jeppe Andersen,Goalscorers,bet365,6.5,0.153846,HIGH,exact,1.0,Anytime,2024-08-01 17:10:04,True
19135820,85866,Andreas Poulsen,Andreas Poulsen,Goalscorers,bet365,8.0,0.125,HIGH,exact,1.0,Anytime,2024-08-01 17:10:04,True
19135820,32796136,Pedro Ganchas,Pedro Ganchas,Goalscorers,bet365,9.0,0.111111,HIGH,exact,1.0,First,2024-08-01 17:10:04,True
19135820,10290773,Pontus Rödin,Pontus Rodin,Goalscorers,bet365,9.0,0.111111,HIGH,exact,1.0,First,2024-08-01 17:10:04,True
19135820,37260000,Oliver Sonne,Oliver Sonne,Goalscorers,bet365,10.0,0.1,HIGH,exact,1.0,Anytime,2024-08-01 17:10:04,True
19135820,86034,Anders Hagelskjær,Anders Hagelskjaer,Goalscorers,bet365,11.0,0.090909,MEDIUM,fuzzy_medium,0.9143,First,2024-08-01 17:10:04,True
19135820,31616631,Casper Öyvann,Casper Oyvann,Goalscorers,bet365,13.0,0.076923,HIGH,exact,1.0,First,2024-08-01 17:10:04,True
19135820,150920,Aaron Olanare,Aaron Olanare,Goalscorers,bet365,8.0,0.125,HIGH,exact,1.0,Anytime,2024-08-01 17:10:04,True
19135820,37658179,Gustav Nyheim,Gustav Nyheim,Goalscorers,bet365,9.0,0.111111,HIGH,exact,1.0,Anytime,2024-08-01 17:10:04,True
19135820,151252,Eirik Hestad,Eirik Hestad,Goalscorers,bet365,10.0,0.1,HIGH,exact,1.0,Anytime,2024-08-01 17:10:04,True
19135820,150876,Martin Bjørnbak,Martin Bjornbak,Goalscorers,bet365,41.0,0.02439,MEDIUM,fuzzy_high,0.9333,Anytime,2024-08-01 17:10:04,True
19135820,150920,Aaron Olanare,Aaron Olanare,Goalscorers,bet365,8.0,0.125,HIGH,exact,1.0,Anytime,2024-08-01 17:10:04,True
19135820,37658179,Gustav Nyheim,Gustav Nyheim,Goalscorers,bet365,9.0,0.111111,HIGH,exact,1.0,Anytime,2024-08-01 17:10:04,True
19135820,151252,Eirik Hestad,Eirik Hestad,Goalscorers,bet365,10.0,0.1,HIGH,exact,1.0,Anytime,2024-08-01 17:10:04,True
19135820,538359,Ramazan Orazov,Ramazan Orazov,Goalscorers,bet365,12.0,0.083333,HIGH,exact,1.0,Anytime,2024-08-01 17:10:04,True
19135820,37509472,Robin Østrøm,Robin Ostrom,Goalscorers,bet365,29.0,0.034483,MEDIUM,fuzzy_medium,0.8696,First,2024-08-01 17:10:04,True
19135820,150876,Martin Bjørnbak,Martin Bjornbak,Goalscorers,bet365,41.0,0.02439,MEDIUM,fuzzy_high,0.9333,Anytime,2024-08-01 17:10:04,True
19135820,150920,Aaron Olanare,Aaron Olanare,Goalscorers,bet365,3.4,0.294118,HIGH,exact,1.0,Anytime,2024-08-01 17:10:04,True
19135820,37658179,Gustav Nyheim,Gustav Nyheim,Goalscorers,bet365,3.75,0.266667,HIGH,exact,1.0,Anytime,2024-08-01 17:10:04,True
19135820,151252,Eirik Hestad,Eirik Hestad,Goalscorers,bet365,4.0,0.25,HIGH,exact,1.0,Anytime,2024-08-01 17:10:04,True
19135820,538359,Ramazan Orazov,Ramazan Orazov,Goalscorers,bet365,4.75,0.210526,HIGH,exact,1.0,Anytime,2024-08-01 17:10:04,True
19135820,37509472,Robin Østrøm,Robin Ostrom,Goalscorers,bet365,11.0,0.090909,MEDIUM,fuzzy_medium,0.8696,First,2024-08-01 17:10:04,True
19135820,150876,Martin Bjørnbak,Martin Bjornbak,Goalscorers,bet365,15.0,0.066667,MEDIUM,fuzzy_high,0.9333,Anytime,2024-08-01 17:10:04,True
19135820,37707825,Jeppe Andersen,Jeppe Andersen,Team Goalscorer,bet365,9.5,0.105263,HIGH,exact,1.0,First,2024-08-01 17:10:04,True
19135820,85866,Andreas Poulsen,Andreas Poulsen,Team Goalscorer,bet365,12.0,0.083333,HIGH,exact,1.0,Last,2024-08-01 17:10:04,True
19135820,32796136,Pedro Ganchas,Pedro Ganchas,Team Goalscorer,bet365,13.0,0.076923,HIGH,exact,1.0,First,2024-08-01 17:10:04,True
19135820,10290773,Pontus Rödin,Pontus Rodin,Team Goalscorer,bet365,13.0,0.076923,HIGH,exact,1.0,First,2024-08-01 17:10:04,True
19135820,37260000,Oliver Sonne,Oliver Sonne,Team Goalscorer,bet365,15.0,0.066667,HIGH,exact,1.0,First,2024-08-01 17:10:04,True
19135820,37509472,Robin Østrøm,Robin Ostrom,Team Goalscorer,bet365,17.0,0.058824,MEDIUM,fuzzy_medium,0.8696,First,2024-08-01 17:10:04,True
19135820,24818234,Alexander Lind,Alexander Lind,Team Goalscorer,bet365,3.75,0.266667,HIGH,exact,1.0,Last,2024-08-01 17:10:04,True
19135820,37561087,Tonni Adamsen,Tonni Adamsen,Team Goalscorer,bet365,3.75,0.266667,HIGH,exact,1.0,First,2024-08-01 17:10:04,True
19135820,5283385,Mads Larsen,Mads Larsen,Team Goalscorer,bet365,6.5,0.153846,HIGH,exact,1.0,Last,2024-08-01 17:10:04,True
19135820,538359,Ramazan Orazov,Ramazan Orazov,Team Goalscorer,bet365,6.5,0.153846,HIGH,exact,1.0,Last,2024-08-01 17:10:04,True
19135820,85866,Andreas Poulsen,Andreas Poulsen,Team Goalscorer,bet365,12.0,0.083333,HIGH,exact,1.0,Last,2024-08-01 17:10:04,True
19135820,5283802,Emil Breivik,Emil Breivik,Team Goalscorer,bet365,7.0,0.142857,HIGH,exact,1.0,First,2024-08-01 17:10:04,True
19135820,2875,Mats Møller Dæhli,Mats Moller Daehli,Team Goalscorer,bet365,7.0,0.142857,MEDIUM,fuzzy_medium,0.8571,First,2024-08-01 17:10:04,True
19135820,152914,Halldor Stenevik,Halldor Stenevik,Team Goalscorer,bet365,9.5,0.105263,HIGH,exact,1.0,First,2024-08-01 17:10:04,True
19135820,37336215,Mathias Løvik,Mathias Lovik,Team Goalscorer,bet365,9.5,0.105263,MEDIUM,fuzzy_high,0.9231,Last,2024-08-01 17:10:04,True
19135820,31616631,Casper Öyvann,Casper Oyvann,Team Goalscorer,bet365,19.0,0.052632,HIGH,exact,1.0,Last,2024-08-01 17:10:04,True
19135820,150876,Martin Bjørnbak,Martin Bjornbak,Team Goalscorer,bet365,21.0,0.047619,MEDIUM,fuzzy_high,0.9333,Last,2024-08-01 17:10:04,True
19135820,2876,Magnus Wolff Eikrem,Magnus Wolff Eikrem,Team Goalscorer,bet365,4.5,0.222222,HIGH,exact,1.0,Last,2024-08-01 17:10:04,True
19135820,37658179,Gustav Nyheim,Gustav Nyheim,Team Goalscorer,bet365,5.0,0.2,HIGH,exact,1.0,Last,2024-08-01 17:10:04,True
19135820,37336215,Mathias Løvik,Mathias Lovik,Team Goalscorer,bet365,9.5,0.105263,MEDIUM,fuzzy_high,0.9231,Last,2024-08-01 17:10:04,True
19135820,31616631,Casper Öyvann,Casper Oyvann,Team Goalscorer,bet365,19.0,0.052632,HIGH,exact,1.0,Last,2024-08-01 17:10:04,True
19135820,150876,Martin Bjørnbak,Martin Bjornbak,Team Goalscorer,bet365,21.0,0.047619,MEDIUM,fuzzy_high,0.9333,Last,2024-08-01 17:10:04,True
19135820,37561087,Tonni Adamsen,Tonni Adamsen,Team Goalscorer,bet365,3.75,0.266667,HIGH,exact,1.0,First,2024-08-01 17:10:04,True
19135820,86034,Anders Hagelskjær,Anders Hagelskjaer,Team Goalscorer,bet365,15.0,0.066667,MEDIUM,fuzzy_medium,0.9143,First,2024-08-01 17:10:04,True
19135820,153126,Kristian Eriksen,Kristian Eriksen,Team Goalscorer,bet365,4.5,0.222222,HIGH,exact,1.0,Last,2024-08-01 17:10:04,True
19135820,31616631,Casper Öyvann,Casper Oyvann,Goalscorers,bet365,34.0,0.029412,HIGH,exact,1.0,First,2024-08-01 17:10:04,True
19135820,5283802,Emil Breivik,Emil Breivik,Goalscorers,bet365,13.0,0.076923,HIGH,exact,1.0,First,2024-08-01 17:10:04,True
19135820,37509472,Robin Østrøm,Robin Ostrom,Goalscorers,bet365,29.0,0.034483,MEDIUM,fuzzy_medium,0.8696,First,2024-08-01 17:10:04,True
19135820,32796136,Pedro Ganchas,Pedro Ganchas,Goalscorers,bet365,23.0,0.043478,HIGH,exact,1.0,First,2024-08-01 17:10:04,True
19135820,10290773,Pontus Rödin,Pontus Rodin,Goalscorers,bet365,23.0,0.043478,HIGH,exact,1.0,First,2024-08-01 17:10:04,True
19135820,86034,Anders Hagelskjær,Anders Hagelskjaer,Goalscorers,bet365,29.0,0.034483,MEDIUM,fuzzy_medium,0.9143,First,2024-08-01 17:10:04,True
19135820,5283385,Mads Larsen,Mads Larsen,Goalscorers,bet365,12.0,0.083333,HIGH,exact,1.0,First,2024-08-01 17:10:04,True
19135820,5283802,Emil Breivik,Emil Breivik,Goalscorers,bet365,13.0,0.076923,HIGH,exact,1.0,First,2024-08-01 17:10:04,True
19135820,2875,Mats Møller Dæhli,Mats Moller Daehli,Goalscorers,bet365,13.0,0.076923,MEDIUM,fuzzy_medium,0.8571,First,2024-08-01 17:10:04,True
19135820,151252,Eirik Hestad,Eirik Hestad,Team Goalscorer,bet365,5.5,0.181818,HIGH,exact,1.0,Last,2024-08-01 17:10:04,True
19135820,152979,Marcus Andre Kaasa,Markus Kaasa,Team Goalscorer,bet365,5.5,0.181818,HIGH,initial_last,0.95,Last,2024-08-01 17:10:04,True
