sportmonks_fixture_id,bookmaker,market,label,selection_name,odds,implied_probability,timestamp,finished,league_id,season_id,mapping_confidence
19135818,bet365,Goalscorers,Last,Alama Bayo,9.5,0.105263,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,First,Alama Bayo,6.0,0.166667,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,First,Alama Bayo,9.5,0.105263,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,First,No Goalscorer (Cercle Brugge),5.5,0.181818,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,Last,Ahoueke Denkey,2.75,0.363636,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,Last,Bruno Goncalves,4.75,0.210526,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,Last,No Goalscorer (Cercle Brugge),5.5,0.181818,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,First,Thomas Davies,51.0,0.019608,2024-08-01 17:40:06,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Last,Kevin van Veen,11.0,0.090909,2024-08-01 17:40:06,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,First,No Goalscorer,17.0,0.058824,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Anytime,Ibrahim Diakite,9.0,0.111111,2024-08-01 17:40:06,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Anytime,Boris Popovic,9.0,0.111111,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,Last,James Balagizi,9.0,0.111111,2024-08-01 17:20:08,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,Last,Kyle Magennis,9.0,0.111111,2024-08-01 17:20:08,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,Last,Marley Watkins,6.0,0.166667,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,Last,Rory McKenzie,8.5,0.117647,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,First,Malamine Efekele,7.5,0.133333,2024-08-01 17:40:06,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Last,Ahoueke Denkey,4.0,0.25,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Last,Corrie Ndaba,34.0,0.029412,2024-08-01 17:40:06,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,Last,Alan Minda,5.0,0.2,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,First,Nils De Wilde,10.0,0.1,2024-08-01 17:20:08,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,First,Ahoueke Denkey,2.75,0.363636,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Last,Nunes Erick,15.0,0.066667,2024-08-01 17:40:06,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Last,James Balagizi,19.0,0.052632,2024-08-01 17:40:06,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Last,Marley Watkins,13.0,0.076923,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Last,Boris Popovic,23.0,0.043478,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Last,Aaron Brown,13.0,0.076923,2024-08-01 17:40:06,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Last,Ibrahim Diakite,23.0,0.043478,2024-08-01 17:40:06,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Last,Thomas Davies,51.0,0.019608,2024-08-01 17:40:06,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Last,Jonas Lietaert,23.0,0.043478,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,Last,Thomas Davies,26.0,0.038462,2024-08-01 17:20:08,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,First,Alan Minda,5.0,0.2,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,First,Nunes Erick,10.0,0.1,2024-08-01 17:20:08,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,Last,Nils De Wilde,10.0,0.1,2024-08-01 17:20:08,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,Last,Nunes Erick,10.0,0.1,2024-08-01 17:20:08,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,Last,Ibrahim Diakite,15.0,0.066667,2024-08-01 17:20:08,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,First,Kevin van Veen,4.75,0.210526,2024-08-01 17:20:08,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,First,Aaron Brown,6.0,0.166667,2024-08-01 17:20:08,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,First,James Balagizi,9.0,0.111111,2024-08-01 17:20:08,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,First,Kyle Magennis,9.0,0.111111,2024-08-01 17:20:08,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,First,Corrie Ndaba,17.0,0.058824,2024-08-01 17:20:08,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,First,Thomas Davies,26.0,0.038462,2024-08-01 17:20:08,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,Last,Aaron Brown,6.0,0.166667,2024-08-01 17:20:08,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,Last,Corrie Ndaba,17.0,0.058824,2024-08-01 17:20:08,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,First,Kevin van Veen,11.0,0.090909,2024-08-01 17:40:06,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,First,Aaron Brown,13.0,0.076923,2024-08-01 17:40:06,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,First,Nils De Wilde,15.0,0.066667,2024-08-01 17:40:06,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,First,Nunes Erick,15.0,0.066667,2024-08-01 17:40:06,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,First,James Balagizi,19.0,0.052632,2024-08-01 17:40:06,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,First,Kyle Magennis,19.0,0.052632,2024-08-01 17:40:06,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,First,Ibrahim Diakite,23.0,0.043478,2024-08-01 17:40:06,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,First,Corrie Ndaba,34.0,0.029412,2024-08-01 17:40:06,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Last,Malamine Efekele,7.5,0.133333,2024-08-01 17:40:06,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Anytime,Malamine Efekele,3.1,0.322581,2024-08-01 17:40:06,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Anytime,Kevin van Veen,4.33,0.230947,2024-08-01 17:40:06,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Anytime,Aaron Brown,5.0,0.2,2024-08-01 17:40:06,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Anytime,Nunes Erick,6.0,0.166667,2024-08-01 17:40:06,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Anytime,James Balagizi,7.5,0.133333,2024-08-01 17:40:06,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Anytime,Kyle Magennis,7.5,0.133333,2024-08-01 17:40:06,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Anytime,Corrie Ndaba,13.0,0.076923,2024-08-01 17:40:06,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Anytime,Thomas Davies,19.0,0.052632,2024-08-01 17:40:06,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,First,Ahoueke Denkey,4.0,0.25,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Anytime,Ahoueke Denkey,1.9,0.526316,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,First,Marley Watkins,13.0,0.076923,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,First,Rory McKenzie,19.0,0.052632,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Anytime,Marley Watkins,5.0,0.2,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Anytime,Rory McKenzie,7.5,0.133333,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,First,Bruno Goncalves,7.0,0.142857,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,First,Rayan El Bahri,9.5,0.105263,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,First,Bobby Wales,11.0,0.090909,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,First,Innes Cameron,12.0,0.083333,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,First,Kian Lesley,19.0,0.052632,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,First,Emmanuel Kakou,21.0,0.047619,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,First,Gary Mackay-Steven,21.0,0.047619,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,First,Ben Brannan,23.0,0.043478,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,First,Boris Popovic,23.0,0.043478,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,First,Jonas Lietaert,23.0,0.043478,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,First,Ethan Brown,51.0,0.019608,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Last,Bruno Goncalves,7.0,0.142857,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Last,Rayan El Bahri,9.5,0.105263,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Last,Bobby Wales,11.0,0.090909,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Last,Innes Cameron,12.0,0.083333,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Last,Kian Lesley,19.0,0.052632,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Last,Emmanuel Kakou,21.0,0.047619,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Last,Ben Brannan,23.0,0.043478,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Last,Ethan Brown,51.0,0.019608,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Last,No Goalscorer,17.0,0.058824,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Anytime,Bruno Goncalves,3.0,0.333333,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Anytime,Alan Minda,3.4,0.294118,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Anytime,Rayan El Bahri,4.0,0.25,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Anytime,Bobby Wales,4.5,0.222222,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Anytime,Innes Cameron,4.75,0.210526,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Anytime,Kian Lesley,7.5,0.133333,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Anytime,Emmanuel Kakou,8.0,0.125,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Anytime,Gary Mackay-Steven,8.0,0.125,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Anytime,Ben Brannan,9.0,0.111111,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Anytime,Jonas Lietaert,9.0,0.111111,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Anytime,Ethan Brown,19.0,0.052632,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,First,Rayan El Bahri,6.0,0.166667,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,First,Emmanuel Kakou,13.0,0.076923,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,First,Boris Popovic,15.0,0.066667,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,First,Jonas Lietaert,15.0,0.066667,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,Last,Rayan El Bahri,6.0,0.166667,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,Last,Emmanuel Kakou,13.0,0.076923,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,Last,Boris Popovic,15.0,0.066667,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,Last,Jonas Lietaert,15.0,0.066667,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,First,No Goalscorer (Kilmarnock),1.95,0.512821,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,First,Bobby Wales,4.75,0.210526,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,First,Innes Cameron,5.5,0.181818,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,First,Marley Watkins,6.0,0.166667,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,First,Kian Lesley,8.5,0.117647,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,First,Rory McKenzie,8.5,0.117647,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,First,Gary Mackay-Steven,10.0,0.1,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,First,Ben Brannan,11.0,0.090909,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,First,Ethan Brown,21.0,0.047619,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,Last,Bobby Wales,4.75,0.210526,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,Last,Innes Cameron,5.5,0.181818,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,Last,Kian Lesley,8.5,0.117647,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,Last,Gary Mackay-Steven,10.0,0.1,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,Last,Ben Brannan,11.0,0.090909,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,Last,Ethan Brown,21.0,0.047619,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Last,Nils De Wilde,15.0,0.066667,2024-08-01 17:40:06,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Anytime,Nils De Wilde,6.0,0.166667,2024-08-01 17:40:06,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,Last,Alama Bayo,6.0,0.166667,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,First,Ibrahim Diakite,15.0,0.066667,2024-08-01 17:20:08,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,Last,Malamine Efekele,4.75,0.210526,2024-08-01 17:20:08,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Last,Alan Minda,8.0,0.125,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,First,Malamine Efekele,4.75,0.210526,2024-08-01 17:20:08,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,First,Bruno Goncalves,4.75,0.210526,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Last,Kyle Magennis,19.0,0.052632,2024-08-01 17:40:06,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Last,Rory McKenzie,19.0,0.052632,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Last,Gary Mackay-Steven,21.0,0.047619,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,Last,Kevin van Veen,4.75,0.210526,2024-08-01 17:20:08,True,5,23620,UNMAPPED
19135818,bet365,Team Goalscorer,Last,No Goalscorer (Kilmarnock),1.95,0.512821,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,Anytime,Alama Bayo,4.0,0.25,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135818,bet365,Goalscorers,First,Alan Minda,8.0,0.125,2024-08-01 17:50:05,True,5,23620,UNMAPPED
19135819,bet365,Goalscorers,Anytime,Johan Bakke,7.0,0.142857,2024-07-25 16:50:08,True,5,23620,UNMAPPED
19135819,bet365,Team Goalscorer,Last,Jeppe Andersen,12.0,0.083333,2024-07-25 16:50:08,True,5,23620,UNMAPPED
19135819,bet365,Goalscorers,Anytime,Mats Moller Daehli,4.33,0.230947,2024-07-25 16:50:08,True,5,23620,UNMAPPED
19135819,bet365,Goalscorers,First,Mark Christensen,23.0,0.043478,2024-07-25 16:50:08,True,5,23620,UNMAPPED
19135819,bet365,Team Goalscorer,First,Kristian Eriksen,4.0,0.25,2024-07-25 16:50:08,True,5,23620,UNMAPPED
19135819,bet365,Goalscorers,Anytime,Valdemar Lund Jensen,11.0,0.090909,2024-07-25 16:50:08,True,5,23620,UNMAPPED
19135819,bet365,Goalscorers,Anytime,Andreas Poulsen,13.0,0.076923,2024-07-25 16:50:08,True,5,23620,UNMAPPED
19135819,bet365,Goalscorers,Anytime,Julius Nielsen,13.0,0.076923,2024-07-25 16:50:08,True,5,23620,UNMAPPED
